rep,n,best_fit,time_taken,time_till_best,initial_fitness,T0,alpha,beta,time_limit_s,cooling,initial,initial_size,iter_till_reduction,neighbor,no_impro_iter
0,20,18703,0.240627,0.016391,46708,0.5,0.85,,10,geometric,single,1000,1,close,10000
0,20,26997,0.21775,0.008017,56913,0.5,0.9,,10,geometric,single,1000,1,close,10000
0,20,19417,0.236786,0.012546,42962,0.5,0.95,,10,geometric,single,1000,1,close,10000
0,20,20615,0.216713,0.008814,39872,0.5,0.99,,10,geometric,single,1000,1,close,10000
0,20,36098,0.243144,0.013967,69063,1.0,0.85,,10,geometric,single,1000,1,close,10000
0,20,15221,0.218041,0.007537,35537,1.0,0.9,,10,geometric,single,1000,1,close,10000
0,20,30605,0.227482,0.010208,53014,1.0,0.95,,10,geometric,single,1000,1,close,10000
0,20,23062,0.209895,0.013469,50077,1.0,0.99,,10,geometric,single,1000,1,close,10000
0,20,23636,0.240665,0.008359,55129,1.5,0.85,,10,geometric,single,1000,1,close,10000
0,20,15754,0.231889,0.015996,39505,1.5,0.9,,10,geometric,single,1000,1,close,10000
0,20,36614,0.248841,7.4e-05,58134,1.5,0.95,,10,geometric,single,1000,1,close,10000
0,20,16860,0.237175,0.00618,47707,1.5,0.99,,10,geometric,single,1000,1,close,10000
0,20,16937,0.213096,0.008001,41474,10.0,,0.001,10,linear,single,1000,1,close,10000
0,20,22707,0.024,0.007999,50266,10.0,,0.01,10,linear,single,1000,1,close,10000
0,20,19058,0.0,0.0,29818,10.0,,0.05,10,linear,single,1000,1,close,10000
0,20,17861,0.008018,0.008018,25892,10.0,,0.1,10,linear,single,1000,1,close,10000
0,20,19403,1.076157,0.084799,48837,50.0,,0.001,10,linear,single,1000,1,close,10000
0,20,21739,0.108072,0.067112,45113,50.0,,0.01,10,linear,single,1000,1,close,10000
0,20,16806,0.025345,0.024711,26297,50.0,,0.05,10,linear,single,1000,1,close,10000
0,20,29966,0.016273,0.00802,57412,50.0,,0.1,10,linear,single,1000,1,close,10000
0,20,15830,2.142253,1.566801,38514,100.0,,0.001,10,linear,single,1000,1,close,10000
0,20,16881,0.208279,0.158674,41239,100.0,,0.01,10,linear,single,1000,1,close,10000
0,20,33081,0.032598,0.032598,50999,100.0,,0.05,10,linear,single,1000,1,close,10000
0,20,27690,0.016694,0.016694,58419,100.0,,0.1,10,linear,single,1000,1,close,10000
0,40,102861,0.43634,0.047503,199582,0.5,0.85,,10,geometric,single,1000,1,close,10000
0,40,91188,0.357822,0.054989,209290,0.5,0.9,,10,geometric,single,1000,1,close,10000
0,40,120035,0.35689,0.055864,239502,0.5,0.95,,10,geometric,single,1000,1,close,10000
0,40,111049,0.380314,0.040021,211970,0.5,0.99,,10,geometric,single,1000,1,close,10000
0,40,145842,0.38628,0.06506,226634,1.0,0.85,,10,geometric,single,1000,1,close,10000
0,40,113449,0.391366,0.066182,220177,1.0,0.9,,10,geometric,single,1000,1,close,10000
0,40,73104,0.36565,0.041686,150392,1.0,0.95,,10,geometric,single,1000,1,close,10000
0,40,102656,0.381186,0.048001,162362,1.0,0.99,,10,geometric,single,1000,1,close,10000
0,40,98481,0.378182,0.056292,223158,1.5,0.85,,10,geometric,single,1000,1,close,10000
0,40,126067,0.366541,0.066538,265487,1.5,0.9,,10,geometric,single,1000,1,close,10000
0,40,107186,0.392134,0.066155,218648,1.5,0.95,,10,geometric,single,1000,1,close,10000
0,40,132972,0.382926,0.066768,246556,1.5,0.99,,10,geometric,single,1000,1,close,10000
0,40,133115,0.325688,0.249796,250148,10.0,,0.001,10,linear,single,1000,1,close,10000
0,40,114079,0.032632,0.032632,206719,10.0,,0.01,10,linear,single,1000,1,close,10000
0,40,144119,0.008818,0.008818,165089,10.0,,0.05,10,linear,single,1000,1,close,10000
0,40,232294,0.00802,0.00802,245825,10.0,,0.1,10,linear,single,1000,1,close,10000
0,40,106232,1.566667,1.459152,218197,50.0,,0.001,10,linear,single,1000,1,close,10000
0,40,92363,0.17148,0.165231,189446,50.0,,0.01,10,linear,single,1000,1,close,10000
0,40,92962,0.033261,0.033261,152527,50.0,,0.05,10,linear,single,1000,1,close,10000
0,40,183171,0.024044,0.024044,234028,50.0,,0.1,10,linear,single,1000,1,close,10000
0,40,102357,3.058645,2.905965,210594,100.0,,0.001,10,linear,single,1000,1,close,10000
0,40,92412,0.308772,0.308772,142261,100.0,,0.01,10,linear,single,1000,1,close,10000
0,40,87902,0.05734,0.05734,161053,100.0,,0.05,10,linear,single,1000,1,close,10000
0,40,112178,0.024751,0.024751,209259,100.0,,0.1,10,linear,single,1000,1,close,10000
0,60,287583,0.554039,0.157727,476773,0.5,0.85,,10,geometric,single,1000,1,close,10000
0,60,278505,0.608263,0.207898,571251,0.5,0.9,,10,geometric,single,1000,1,close,10000
0,60,185644,0.541475,0.132367,363132,0.5,0.95,,10,geometric,single,1000,1,close,10000
0,60,214219,0.573966,0.145706,384760,0.5,0.99,,10,geometric,single,1000,1,close,10000
0,60,268171,0.659702,0.220109,462774,1.0,0.85,,10,geometric,single,1000,1,close,10000
0,60,267643,0.59162,0.191101,494862,1.0,0.9,,10,geometric,single,1000,1,close,10000
0,60,257229,0.567183,0.155089,522289,1.0,0.95,,10,geometric,single,1000,1,close,10000
0,60,192732,0.591047,0.157524,408148,1.0,0.99,,10,geometric,single,1000,1,close,10000
0,60,262695,0.683108,0.1929,474739,1.5,0.85,,10,geometric,single,1000,1,close,10000
0,60,247283,0.559543,0.165501,429013,1.5,0.9,,10,geometric,single,1000,1,close,10000
0,60,195142,0.601217,0.18195,434826,1.5,0.95,,10,geometric,single,1000,1,close,10000
0,60,209154,0.594491,0.185714,453321,1.5,0.99,,10,geometric,single,1000,1,close,10000
0,60,200863,0.416834,0.374945,406459,10.0,,0.001,10,linear,single,1000,1,close,10000
0,60,375086,0.041013,0.041013,478736,10.0,,0.01,10,linear,single,1000,1,close,10000
0,60,422552,0.008001,0.008001,449426,10.0,,0.05,10,linear,single,1000,1,close,10000
